collection_id,invoice_id,customer_id,collection_date,amount_collected,collection_status
COL1,INV35714,C22913,2024-01-26,0.0,Unrecovered
COL2,INV4953,C3244,2024-01-21,583.74,Recovered
COL3,INV24545,C15869,2024-01-20,0.0,Unrecovered
COL4,INV47066,C30313,2024-01-13,0.0,Unrecovered
COL5,INV57214,C37151,2024-01-30,0.0,Unrecovered
COL6,INV7374,C4834,2024-01-09,635.76,Recovered
COL7,INV21262,C13838,2024-01-13,754.58,Recovered
COL8,INV2760,C1777,2024-01-21,397.02,Recovered
COL9,INV35801,C22940,2024-01-31,1468.44,Recovered
COL10,INV36049,C23087,2024-01-25,0.0,Unrecovered
COL11,INV37127,C23783,2024-01-09,3247.1,Recovered
COL12,INV47797,C30799,2024-01-25,0.0,Unrecovered
COL13,INV4749,C3108,2024-01-28,2560.81,Recovered
COL14,INV58401,C37885,2024-02-09,309.59,Recovered
COL15,INV7867,C5187,2024-01-23,1234.11,Recovered
COL16,INV8707,C5673,2024-01-22,822.56,Recovered
COL17,INV10983,C7249,2024-01-22,0.0,Unrecovered
COL18,INV12099,C7953,2024-01-30,1121.55,Recovered
COL19,INV18709,C12063,2024-01-13,1986.45,Recovered
COL20,INV166,C126,2024-01-29,0.0,Unrecovered
COL21,INV25022,C16178,2024-01-23,7148.73,Recovered
COL22,INV30423,C19496,2024-01-27,1051.96,Recovered
COL23,INV3263,C2119,2024-01-23,263.24,Recovered
COL24,INV33125,C21243,2024-01-28,0.0,Unrecovered
COL25,INV34236,C21981,2024-01-16,137.84,Recovered
COL26,INV36246,C23221,2024-02-07,403.16,Recovered
COL27,INV38318,C24522,2024-02-01,143.54,Recovered
COL28,INV44896,C28887,2024-01-30,0.0,Unrecovered
COL29,INV47980,C30964,2024-01-25,0.0,Unrecovered
COL30,INV474,C347,2024-01-14,3570.94,Recovered
COL31,INV56878,C36936,2024-01-27,0.0,Unrecovered
COL32,INV57121,C37082,2024-01-24,0.0,Unrecovered
COL33,INV57780,C37502,2024-01-20,4766.19,Recovered
COL34,INV59205,C38394,2024-01-27,0.0,Unrecovered
COL35,INV9690,C6370,2024-01-18,0.0,Unrecovered
COL36,INV2427,C1587,2024-02-05,0.0,Unrecovered
COL37,INV33378,C21385,2024-02-02,0.0,Unrecovered
COL38,INV37852,C24243,2024-02-03,244.78,Recovered
COL39,INV37909,C24292,2024-01-18,0.0,Unrecovered
COL40,INV42868,C27560,2024-01-31,0.0,Unrecovered
COL41,INV43157,C27757,2024-01-17,0.0,Unrecovered
COL42,INV48068,C31055,2024-02-01,1570.95,Recovered
COL43,INV5082,C3342,2024-01-17,0.0,Unrecovered
COL44,INV56515,C36634,2024-02-03,436.4,Recovered
COL45,INV57375,C37265,2024-01-29,1714.96,Recovered
COL46,INV60762,C39503,2024-01-13,0.0,Unrecovered
COL47,INV10817,C7138,2024-02-01,137.67,Recovered
COL48,INV12170,C8003,2024-01-17,6521.36,Recovered
COL49,INV1468,C1028,2024-01-29,895.12,Recovered
COL50,INV18415,C11887,2024-01-23,404.98,Recovered
COL51,INV19769,C12833,2024-01-17,6550.39,Recovered
COL52,INV23666,C15270,2024-01-21,0.0,Unrecovered
COL53,INV24428,C15772,2024-01-19,0.0,Unrecovered
COL54,INV24884,C16089,2024-01-22,0.0,Unrecovered
COL55,INV25968,C16775,2024-02-02,2579.5,Recovered
COL56,INV28865,C18563,2024-01-12,0.0,Unrecovered
COL57,INV34025,C21852,2024-01-30,250.2,Recovered
COL58,INV3487,C2249,2024-02-10,2661.99,Recovered
COL59,INV40458,C25890,2024-01-25,0.0,Unrecovered
COL60,INV40922,C26221,2024-01-18,354.58,Recovered
COL61,INV42816,C27521,2024-01-31,132.07,Recovered
COL62,INV43754,C28136,2024-02-04,0.0,Unrecovered
COL63,INV43980,C28309,2024-01-13,6562.18,Recovered
COL64,INV47053,C30310,2024-02-08,253.7,Recovered
COL65,INV47137,C30371,2024-01-21,0.0,Unrecovered
COL66,INV48664,C31425,2024-01-21,69.5,Recovered
COL67,INV50039,C32194,2024-01-24,0.0,Unrecovered
COL68,INV51569,C33170,2024-01-29,397.59,Recovered
COL69,INV5247,C3468,2024-02-10,366.26,Recovered
COL70,INV58603,C38006,2024-01-18,0.0,Unrecovered
COL71,INV59250,C38444,2024-01-31,0.0,Unrecovered
COL72,INV61119,C39660,2024-01-20,0.0,Unrecovered
COL73,INV61447,C39929,2024-02-08,149.47,Recovered
COL74,INV817,C592,2024-01-27,1558.79,Recovered
COL75,INV10034,C6613,2024-01-22,0.0,Unrecovered
COL76,INV11930,C7820,2024-01-26,6159.52,Recovered
COL77,INV13342,C8795,2024-01-29,0.0,Unrecovered
COL78,INV18185,C11747,2024-01-21,0.0,Unrecovered
COL79,INV19587,C12698,2024-01-30,0.0,Unrecovered
COL80,INV21953,C14303,2024-02-07,0.0,Unrecovered
COL81,INV2282,C1437,2024-02-06,295.51,Recovered
COL82,INV26954,C17452,2024-02-05,1048.81,Recovered
COL83,INV28776,C18504,2024-01-18,1252.83,Recovered
COL84,INV28986,C18661,2024-01-26,1048.01,Recovered
COL85,INV30985,C19856,2024-02-05,128.62,Recovered
COL86,INV31733,C20406,2024-01-21,0.0,Unrecovered
COL87,INV31914,C20523,2024-02-08,0.0,Unrecovered
COL88,INV33345,C21370,2024-01-21,8619.49,Recovered
COL89,INV35156,C22554,2024-01-27,2258.74,Recovered
COL90,INV35159,C22560,2024-01-27,0.0,Unrecovered
COL91,INV35715,C22917,2024-01-22,533.28,Recovered
COL92,INV38988,C24922,2024-02-02,945.14,Recovered
COL93,INV40638,C25980,2024-01-23,2437.49,Recovered
COL94,INV42847,C27551,2024-01-19,0.0,Unrecovered
COL95,INV4666,C3012,2024-01-25,3294.87,Recovered
COL96,INV5021,C3298,2024-01-31,1789.46,Recovered
COL97,INV51677,C33244,2024-02-06,682.14,Recovered
COL98,INV51787,C33305,2024-01-14,0.0,Unrecovered
COL99,INV52411,C33735,2024-01-24,0.0,Unrecovered
COL100,INV57450,C37293,2024-01-30,0.0,Unrecovered
COL101,INV58351,C37847,2024-02-08,0.0,Unrecovered
COL102,INV59637,C38654,2024-01-30,184.0,Recovered
COL103,INV9820,C6458,2024-01-27,805.32,Recovered
COL104,INV12885,C8433,2024-01-17,0.0,Unrecovered
COL105,INV1293,C902,2024-01-16,4907.01,Recovered
COL106,INV13895,C9191,2024-01-31,0.0,Unrecovered
COL107,INV1403,C973,2024-01-25,0.0,Unrecovered
COL108,INV15900,C10422,2024-01-27,0.0,Unrecovered
COL109,INV16579,C10821,2024-02-05,0.0,Unrecovered
COL110,INV19737,C12791,2024-01-15,0.0,Unrecovered
COL111,INV21120,C13767,2024-02-03,611.07,Recovered
COL112,INV21178,C13790,2024-02-07,0.0,Unrecovered
COL113,INV24292,C15666,2024-01-24,0.0,Unrecovered
COL114,INV25985,C16802,2024-01-25,540.58,Recovered
COL115,INV26366,C17047,2024-01-19,624.61,Recovered
COL116,INV26683,C17249,2024-02-02,0.0,Unrecovered
COL117,INV3068,C1950,2024-01-31,1526.33,Recovered
COL118,INV32190,C20662,2024-02-10,0.0,Unrecovered
COL119,INV32374,C20773,2024-02-05,360.19,Recovered
COL120,INV34306,C22026,2024-02-14,62.25,Recovered
COL121,INV35344,C22682,2024-02-02,460.03,Recovered
COL122,INV36414,C23307,2024-02-01,0.0,Unrecovered
COL123,INV37527,C24070,2024-01-25,0.0,Unrecovered
COL124,INV37774,C24194,2024-01-27,592.99,Recovered
COL125,INV41060,C26314,2024-02-06,349.51,Recovered
COL126,INV42019,C26982,2024-02-08,210.35,Recovered
COL127,INV43482,C27974,2024-01-15,2219.6,Recovered
COL128,INV45616,C29401,2024-01-24,0.0,Unrecovered
COL129,INV45678,C29458,2024-02-11,1038.97,Recovered
COL130,INV50325,C32440,2024-01-31,0.0,Unrecovered
COL131,INV54109,C34960,2024-01-15,0.0,Unrecovered
COL132,INV509,C367,2024-01-22,186.71,Recovered
COL133,INV56688,C36734,2024-02-07,0.0,Unrecovered
COL134,INV57329,C37232,2024-02-04,0.0,Unrecovered
COL135,INV60200,C39100,2024-01-23,0.0,Unrecovered
COL136,INV7846,C5177,2024-01-29,0.0,Unrecovered
COL137,INV8282,C5400,2024-02-08,92.31,Recovered
COL138,INV14579,C9550,2024-01-23,0.0,Unrecovered
COL139,INV14621,C9581,2024-02-09,0.0,Unrecovered
COL140,INV19315,C12486,2024-02-10,1865.08,Recovered
COL141,INV25868,C16700,2024-02-12,0.0,Unrecovered
COL142,INV26288,C17019,2024-01-15,0.0,Unrecovered
COL143,INV29043,C18682,2024-02-03,4050.52,Recovered
COL144,INV29086,C18711,2024-01-15,623.03,Recovered
COL145,INV29664,C19010,2024-01-27,334.81,Recovered
COL146,INV32744,C20978,2024-01-30,0.0,Unrecovered
COL147,INV32996,C21175,2024-01-20,0.0,Unrecovered
COL148,INV33006,C21184,2024-01-29,228.31,Recovered
COL149,INV33193,C21290,2024-01-15,0.0,Unrecovered
COL150,INV37005,C23720,2024-02-06,98.78,Recovered
COL151,INV38409,C24553,2024-01-31,0.0,Unrecovered
COL152,INV3910,C2531,2024-01-28,0.0,Unrecovered
COL153,INV39749,C25408,2024-01-15,0.0,Unrecovered
COL154,INV4505,C2895,2024-02-05,0.0,Unrecovered
COL155,INV45465,C29275,2024-01-29,0.0,Unrecovered
COL156,INV46754,C30134,2024-02-05,53.65,Recovered
COL157,INV46980,C30275,2024-01-27,0.0,Unrecovered
COL158,INV50098,C32244,2024-02-05,1113.31,Recovered
COL159,INV50207,C32332,2024-01-29,428.38,Recovered
COL160,INV52613,C33853,2024-01-30,0.0,Unrecovered
COL161,INV472,C342,2024-01-21,2926.27,Recovered
COL162,INV53915,C34808,2024-02-04,966.87,Recovered
COL163,INV55102,C35646,2024-01-16,0.0,Unrecovered
COL164,INV57839,C37537,2024-01-27,3067.24,Recovered
COL165,INV58696,C38053,2024-02-10,141.66,Recovered
COL166,INV59945,C38916,2024-01-29,247.74,Recovered
COL167,INV61021,C39610,2024-02-01,89.03,Recovered
COL168,INV6394,C4253,2024-01-18,0.0,Unrecovered
COL169,INV8424,C5514,2024-02-15,224.46,Recovered
COL170,INV9018,C5878,2024-01-31,4203.8,Recovered
COL171,INV11392,C7493,2024-02-09,0.0,Unrecovered
COL172,INV13890,C9182,2024-02-15,0.0,Unrecovered
COL173,INV16585,C10823,2024-01-30,0.0,Unrecovered
COL174,INV16783,C10970,2024-02-09,965.76,Recovered
COL175,INV1583,C1098,2024-02-03,0.0,Unrecovered
COL176,INV19826,C12883,2024-01-26,5958.72,Recovered
COL177,INV19915,C12977,2024-01-31,0.0,Unrecovered
COL178,INV20956,C13649,2024-02-02,0.0,Unrecovered
COL179,INV21711,C14122,2024-01-26,0.0,Unrecovered
COL180,INV22078,C14387,2024-01-25,303.6,Recovered
COL181,INV23511,C15177,2024-02-05,1032.35,Recovered
COL182,INV25608,C16532,2024-01-28,616.46,Recovered
COL183,INV26952,C17449,2024-01-21,0.0,Unrecovered
COL184,INV27934,C18094,2024-01-27,0.0,Unrecovered
COL185,INV31712,C20395,2024-02-04,139.42,Recovered
COL186,INV32665,C20945,2024-01-28,2668.16,Recovered
COL187,INV33980,C21802,2024-01-27,0.0,Unrecovered
COL188,INV35485,C22787,2024-02-05,0.0,Unrecovered
COL189,INV40518,C25906,2024-01-24,5466.76,Recovered
COL190,INV44742,C28778,2024-01-29,1095.46,Recovered
COL191,INV52450,C33767,2024-02-11,801.39,Recovered
COL192,INV53338,C34361,2024-02-03,119.89,Recovered
COL193,INV53953,C34850,2024-02-07,0.0,Unrecovered
COL194,INV55395,C35920,2024-01-23,847.09,Recovered
COL195,INV57308,C37229,2024-02-14,6248.68,Recovered
COL196,INV7841,C5174,2024-01-27,8653.77,Recovered
COL197,INV9960,C6554,2024-01-25,0.0,Unrecovered
