contract_id,quote_id,customer_id,plan_id,billing_type,contract_start_date,final_price,discount_percent,discount_end_date,contract_status,version,contract_end_date,parent_contract_id
CT1,Q4,C4,BY,Yearly,2024-02-16,3960.0,1,2024-03-15 00:00:00,Active,1,,
CT2,Q6,C6,PY,Yearly,2024-02-27,10000.0,0,2024-03-25 00:00:00,Active,1,,
CT3,Q8,C8,BM,Monthly,2024-03-01,380.0,5,2024-03-29 00:00:00,Terminated,1,2024-05-01 00:00:00,
CT4,Q11,C11,BY,Yearly,2024-01-31,3800.0,5,2024-02-26 00:00:00,Active,1,,
CT5,Q16,C16,BM,Monthly,2024-02-23,360.0,10,2024-03-21 00:00:00,Active,1,,
CT6,Q17,C17,PY,Yearly,2024-01-20,9500.0,5,2024-02-15 00:00:00,Active,1,,
CT7,Q22,C22,BM,Monthly,2024-01-22,364.0,9,2024-02-18 00:00:00,Active,1,,
CT8,Q24,C24,PY,Yearly,2024-01-07,8900.0,11,2024-02-02 00:00:00,Active,1,,
CT9,Q28,C28,PM,Monthly,2024-01-25,860.0,14,2024-02-22 00:00:00,Terminated,1,2024-05-25 00:00:00,
CT10,Q30,C30,PY,Yearly,2024-01-14,8600.0,14,2024-02-10 00:00:00,Active,1,,
CT11,Q40,C40,BY,Yearly,2024-01-17,3600.0,10,2024-02-13 00:00:00,Active,1,,
CT12,Q41,C41,BY,Yearly,2024-01-19,4000.0,0,2024-02-16 00:00:00,Active,1,,
CT13,Q43,C43,PM,Monthly,2024-02-01,820.0000000000001,18,,Active,1,,
CT14,Q44,C44,PY,Yearly,2024-01-23,9900.0,1,2024-02-18 00:00:00,Active,1,,
CT15,Q45,C45,PY,Yearly,2024-02-04,8800.0,12,2024-03-02 00:00:00,Active,1,,
CT16,Q46,C46,PY,Yearly,2024-02-24,9400.0,6,2024-03-24 00:00:00,Active,1,,
CT17,Q52,C52,PM,Monthly,2024-02-29,920.0,8,2024-03-29 00:00:00,Active,1,,
CT18,Q53,C53,BY,Yearly,2024-03-03,4000.0,0,2024-03-29 00:00:00,Active,1,,
CT19,Q56,C56,PY,Yearly,2024-01-24,9300.0,7,2024-02-21 00:00:00,Active,1,,
CT20,Q57,C57,PY,Yearly,2024-01-26,9200.0,8,2024-02-23 00:00:00,Active,1,,
CT21,Q58,C58,BM,Monthly,2024-02-10,360.0,10,2024-03-08 00:00:00,Active,1,,
CT22,Q60,C60,BM,Monthly,2024-02-11,380.0,5,2024-03-11 00:00:00,Terminated,1,2024-07-11 00:00:00,
CT23,Q65,C65,BY,Yearly,2024-01-30,3760.0,6,2024-02-27 00:00:00,Active,1,,
CT24,Q70,C70,PM,Monthly,2024-01-25,870.0,13,2024-02-21 00:00:00,Active,1,,
CT25,Q73,C73,BM,Monthly,2024-02-26,380.0,5,2024-03-26 00:00:00,Active,1,,
CT26,Q75,C75,BM,Monthly,2024-02-18,392.0,2,2024-03-15 00:00:00,Active,1,,
CT27,Q80,C80,PY,Yearly,2024-02-05,8700.0,13,2024-03-03 00:00:00,Active,1,,
CT28,Q84,C84,PY,Yearly,2024-01-23,9900.0,1,2024-02-21 00:00:00,Active,1,,
CT29,Q86,C86,BY,Yearly,2024-02-12,3600.0,10,2024-03-09 00:00:00,Active,1,,
CT30,Q89,C89,PY,Yearly,2024-01-13,9000.0,10,2024-02-10 00:00:00,Active,1,,
CT31,Q97,C97,PM,Monthly,2024-01-28,929.9999999999999,7,2024-02-26 00:00:00,Active,1,,
CT32,Q101,C101,BY,Yearly,2024-02-03,3600.0,10,,Active,1,,
CT33,Q103,C103,PM,Monthly,2024-02-03,780.0,22,2024-03-01 00:00:00,Active,1,,
CT34,Q105,C105,PM,Monthly,2024-01-12,880.0,12,2024-02-08 00:00:00,Active,1,,
CT35,Q107,C107,PM,Monthly,2024-02-25,910.0,9,2024-03-22 00:00:00,Active,1,,
CT36,Q112,C112,BY,Yearly,2024-02-24,3880.0,3,2024-03-21 00:00:00,Active,1,,
CT37,Q120,C120,BM,Monthly,2024-02-26,372.0,7,2024-03-26 00:00:00,Active,1,,
CT38,Q124,C124,BY,Yearly,2024-01-17,3680.0,8,2024-02-15 00:00:00,Active,1,,
CT39,Q126,C126,PY,Yearly,2024-01-03,8600.0,14,2024-01-31 00:00:00,Active,1,,
CT40,Q127,C127,PM,Monthly,2024-03-03,750.0,25,,Active,1,,
CT41,Q131,C131,PY,Yearly,2024-02-02,9600.0,4,2024-03-02 00:00:00,Active,1,,
CT42,Q135,C135,BY,Yearly,2024-01-08,3960.0,1,2024-02-04 00:00:00,Active,1,,
CT43,Q137,C137,BM,Monthly,2024-01-31,368.0,8,2024-02-27 00:00:00,Active,1,,
CT44,Q145,C145,PY,Yearly,2024-02-29,8800.0,12,2024-03-29 00:00:00,Active,1,,
CT45,Q149,C149,BM,Monthly,2024-02-06,384.0,4,2024-03-03 00:00:00,Active,1,,
CT46,Q157,C157,BY,Yearly,2024-02-11,3600.0,10,2024-03-10 00:00:00,Active,1,,
CT47,Q164,C164,PY,Yearly,2024-01-12,9700.0,3,2024-02-09 00:00:00,Active,1,,
CT48,Q165,C165,PM,Monthly,2024-02-19,920.0,8,2024-03-17 00:00:00,Active,1,,
CT49,Q174,C174,PY,Yearly,2024-01-31,8700.0,13,2024-02-27 00:00:00,Active,1,,
CT50,Q176,C176,PM,Monthly,2024-01-17,870.0,13,2024-02-13 00:00:00,Active,1,,
CT51,Q186,C186,BM,Monthly,2024-01-09,364.0,9,2024-02-07 00:00:00,Active,1,,
CT52,Q191,C191,BY,Yearly,2024-02-21,3920.0,2,2024-03-20 00:00:00,Active,1,,
CT53,Q195,C195,BY,Yearly,2024-02-09,3640.0,9,2024-03-08 00:00:00,Active,1,,
CT54,Q202,C202,PY,Yearly,2024-01-31,9300.0,7,,Active,1,,
CT55,Q207,C207,PY,Yearly,2024-02-08,9300.0,7,2024-03-07 00:00:00,Active,1,,
CT56,Q210,C210,BM,Monthly,2024-01-25,364.0,9,2024-02-23 00:00:00,Active,1,,
CT57,Q211,C211,BY,Yearly,2024-02-02,3600.0,10,2024-02-29 00:00:00,Active,1,,
CT58,Q213,C213,BM,Monthly,2024-02-23,360.0,10,2024-03-22 00:00:00,Active,1,,
CT59,Q221,C221,BY,Yearly,2024-02-14,3840.0,4,2024-03-13 00:00:00,Active,1,,
CT60,Q222,C222,BY,Yearly,2024-02-13,3840.0,4,2024-03-12 00:00:00,Active,1,,
CT61,Q227,C227,BM,Monthly,2024-02-25,360.0,10,2024-03-22 00:00:00,Active,1,,
CT62,Q228,C228,PM,Monthly,2024-01-28,1000.0,0,2024-02-23 00:00:00,Active,1,,
CT63,Q229,C229,BM,Monthly,2024-01-25,360.0,10,2024-02-21 00:00:00,Active,1,,
CT64,Q231,C231,PM,Monthly,2024-01-18,920.0,8,2024-02-14 00:00:00,Active,1,,
CT65,Q232,C232,PY,Yearly,2024-02-08,9400.0,6,2024-03-06 00:00:00,Active,1,,
CT66,Q234,C234,PY,Yearly,2024-02-01,9000.0,10,2024-02-28 00:00:00,Active,1,,
CT67,Q236,C236,PY,Yearly,2024-01-29,9000.0,10,2024-02-26 00:00:00,Active,1,,
CT68,Q241,C241,PM,Monthly,2024-02-27,890.0,11,2024-03-27 00:00:00,Terminated,1,2024-07-27 00:00:00,
CT69,Q242,C242,BY,Yearly,2024-01-31,3600.0,10,2024-02-28 00:00:00,Active,1,,
CT70,Q247,C247,BM,Monthly,2024-02-08,388.0,3,2024-03-07 00:00:00,Active,1,,
CT71,Q251,C251,PM,Monthly,2024-01-29,900.0,10,2024-02-24 00:00:00,Active,1,,
CT72,Q252,C252,BM,Monthly,2024-02-27,396.0,1,2024-03-27 00:00:00,Active,1,,
CT73,Q254,C254,BM,Monthly,2024-02-28,368.0,8,2024-03-26 00:00:00,Active,1,,
CT74,Q256,C256,BY,Yearly,2024-02-26,3840.0,4,2024-03-23 00:00:00,Active,1,,
CT75,Q259,C259,PY,Yearly,2024-02-12,9700.0,3,2024-03-09 00:00:00,Active,1,,
CT76,Q262,C262,PM,Monthly,2024-02-25,920.0,8,2024-03-22 00:00:00,Active,1,,
CT77,Q263,C263,BM,Monthly,2024-01-12,376.0,6,2024-02-07 00:00:00,Terminated,1,2024-04-12 00:00:00,
CT78,Q267,C267,PY,Yearly,2024-02-21,9200.0,8,2024-03-20 00:00:00,Active,1,,
CT79,Q271,C271,PM,Monthly,2024-01-18,910.0,9,2024-02-13 00:00:00,Active,1,,
CT80,Q274,C274,PY,Yearly,2024-01-12,9200.0,8,2024-02-09 00:00:00,Active,1,,
CT81,Q284,C284,BY,Yearly,2024-01-10,3719.9999999999995,7,2024-02-07 00:00:00,Active,1,,
CT82,Q287,C287,BM,Monthly,2024-01-21,364.0,9,2024-02-18 00:00:00,Terminated,1,2024-03-21 00:00:00,
CT83,Q288,C288,BM,Monthly,2024-02-19,360.0,10,2024-03-16 00:00:00,Active,1,,
CT84,Q292,C292,BY,Yearly,2024-03-04,3600.0,10,2024-03-30 00:00:00,Active,1,,
CT85,Q296,C296,PY,Yearly,2024-01-30,8700.0,13,2024-02-26 00:00:00,Active,1,,
CT86,Q298,C298,BY,Yearly,2024-02-13,3600.0,10,2024-03-12 00:00:00,Active,1,,
CT87,Q299,C299,BM,Monthly,2024-02-20,360.0,10,2024-03-18 00:00:00,Active,1,,
CT88,Q302,C302,BM,Monthly,2024-01-31,360.0,10,2024-02-29 00:00:00,Active,1,,
CT89,Q303,C303,BY,Yearly,2024-02-22,3640.0,9,2024-03-21 00:00:00,Active,1,,
CT90,Q307,C307,PY,Yearly,2024-02-06,8700.0,13,2024-03-03 00:00:00,Active,1,,
CT91,Q310,C310,PM,Monthly,2024-02-29,980.0,2,2024-03-29 00:00:00,Terminated,1,2024-07-29 00:00:00,
CT92,Q313,C313,PY,Yearly,2024-01-04,8600.0,14,,Active,1,,
CT93,Q314,C314,BY,Yearly,2024-02-29,3680.0,8,,Active,1,,
CT94,Q319,C319,BY,Yearly,2024-01-25,3600.0,10,2024-02-22 00:00:00,Active,1,,
CT95,Q320,C320,PM,Monthly,2024-01-24,950.0,5,2024-02-21 00:00:00,Terminated,1,2024-05-24 00:00:00,
CT96,Q322,C322,BM,Monthly,2024-01-30,396.0,1,2024-02-28 00:00:00,Active,1,,
CT97,Q323,C323,PY,Yearly,2024-02-06,9700.0,3,,Active,1,,
CT98,Q328,C328,BY,Yearly,2024-01-15,3680.0,8,2024-02-10 00:00:00,Active,1,,
CT99,Q330,C330,PY,Yearly,2024-02-19,9300.0,7,2024-03-17 00:00:00,Active,1,,
CT100,Q334,C334,BY,Yearly,2024-01-11,3640.0,9,2024-02-07 00:00:00,Active,1,,
CT101,Q342,C342,PY,Yearly,2024-01-09,9800.0,2,2024-02-04 00:00:00,Active,1,,
CT102,Q346,C346,BY,Yearly,2024-01-14,3800.0,5,2024-02-12 00:00:00,Active,1,,
CT103,Q347,C347,BY,Yearly,2024-01-05,3600.0,10,2024-02-01 00:00:00,Active,1,,
CT104,Q348,C348,PY,Yearly,2024-02-02,9300.0,7,2024-03-02 00:00:00,Active,1,,
CT105,Q353,C353,BM,Monthly,2024-02-27,360.0,10,2024-03-26 00:00:00,Active,1,,
CT106,Q358,C358,PY,Yearly,2024-02-10,9700.0,3,2024-03-07 00:00:00,Active,1,,
CT107,Q359,C359,BM,Monthly,2024-01-24,376.0,6,2024-02-22 00:00:00,Terminated,1,2024-07-24 00:00:00,
CT108,Q364,C364,PM,Monthly,2024-02-01,870.0,13,2024-02-29 00:00:00,Active,1,,
CT109,Q365,C365,BY,Yearly,2024-01-09,3600.0,10,2024-02-04 00:00:00,Active,1,,
CT110,Q366,C366,BY,Yearly,2024-01-26,3640.0,9,2024-02-23 00:00:00,Active,1,,
CT111,Q367,C367,PM,Monthly,2024-01-09,929.9999999999999,7,2024-02-06 00:00:00,Active,1,,
CT112,Q369,C369,BY,Yearly,2024-02-05,3960.0,1,2024-03-04 00:00:00,Active,1,,
CT113,Q373,C373,PM,Monthly,2024-02-05,920.0,8,2024-03-03 00:00:00,Active,1,,
CT114,Q378,C378,BM,Monthly,2024-01-23,364.0,9,2024-02-18 00:00:00,Terminated,1,2024-04-23 00:00:00,
CT115,Q381,C381,PY,Yearly,2024-02-11,9700.0,3,2024-03-08 00:00:00,Active,1,,
CT116,Q383,C383,PY,Yearly,2024-01-04,9400.0,6,2024-02-02 00:00:00,Active,1,,
CT117,Q384,C384,BM,Monthly,2024-01-11,384.0,4,2024-02-06 00:00:00,Active,1,,
CT118,Q387,C387,BY,Yearly,2024-01-28,4000.0,0,2024-02-24 00:00:00,Active,1,,
CT119,Q391,C391,BY,Yearly,2024-03-03,3600.0,10,2024-03-30 00:00:00,Active,1,,
CT120,Q393,C393,PY,Yearly,2024-01-25,9100.0,9,2024-02-22 00:00:00,Active,1,,
CT121,Q394,C394,PY,Yearly,2024-01-13,9600.0,4,2024-02-10 00:00:00,Active,1,,
CT122,Q406,C406,PY,Yearly,2024-02-21,8800.0,12,2024-03-20 00:00:00,Active,1,,
CT123,Q409,C409,PY,Yearly,2024-02-29,8900.0,11,2024-03-28 00:00:00,Active,1,,
CT124,Q412,C412,PY,Yearly,2024-02-26,9900.0,1,2024-03-23 00:00:00,Active,1,,
CT125,Q415,C415,BY,Yearly,2024-02-08,3800.0,5,,Active,1,,
