quote_id,customer_id,plan_id,list_price,discount_percent,discount_start_date,discount_end_date,final_price,quote_date,status,quote_end_date
Q1,C1,BY,4000,7,2024-01-22,2024-02-21 00:00:00,3719.9999999999995,2024-01-22,Draft,
Q2,C2,PY,10000,0,2024-01-02,2024-02-01 00:00:00,10000.0,2024-01-02,Draft,
Q3,C3,BM,400,10,2024-01-04,2024-02-03 00:00:00,360.0,2024-01-04,Approved,
Q4,C4,BY,4000,1,2024-02-14,2024-03-15 00:00:00,3960.0,2024-02-14,Converted,
Q5,C5,BY,4000,10,2024-01-13,2024-02-12 00:00:00,3600.0,2024-01-13,Approved,
Q6,C6,PY,10000,0,2024-02-24,2024-03-25 00:00:00,10000.0,2024-02-24,Converted,
Q7,C7,BM,400,3,2024-02-01,2024-03-02 00:00:00,388.0,2024-02-01,Draft,
Q8,C8,BM,400,5,2024-02-28,2024-03-29 00:00:00,380.0,2024-02-28,Amended,2024-05-01 00:00:00
Q9,C9,BY,4000,4,2024-01-22,2024-02-21 00:00:00,3840.0,2024-01-22,Rejected,
Q10,C10,PM,1000,12,2024-01-25,2024-02-24 00:00:00,880.0,2024-01-25,Approved,
Q11,C11,BY,4000,5,2024-01-27,2024-02-26 00:00:00,3800.0,2024-01-27,Converted,
Q12,C12,BY,4000,1,2024-02-24,2024-03-25 00:00:00,3960.0,2024-02-24,Approved,
Q13,C13,BY,4000,10,2024-01-17,2024-02-16 00:00:00,3600.0,2024-01-17,Draft,
Q14,C14,BY,4000,4,2024-01-06,2024-02-05 00:00:00,3840.0,2024-01-06,Rejected,
Q15,C15,PY,10000,0,2024-02-12,2024-03-13 00:00:00,10000.0,2024-02-12,Draft,
Q16,C16,BM,400,10,2024-02-20,2024-03-21 00:00:00,360.0,2024-02-20,Converted,
Q17,C17,PY,10000,5,2024-01-16,2024-02-15 00:00:00,9500.0,2024-01-16,Converted,
Q18,C18,PY,10000,3,2024-01-08,2024-02-07 00:00:00,9700.0,2024-01-08,Draft,
Q19,C19,PY,10000,12,2024-02-02,,8800.0,2024-02-02,Approved,
Q20,C20,BY,4000,10,2024-01-10,2024-02-09 00:00:00,3600.0,2024-01-10,Draft,
Q21,C21,PM,1000,12,2024-02-03,,880.0,2024-02-03,Approved,
Q22,C22,BM,400,9,2024-01-19,2024-02-18 00:00:00,364.0,2024-01-19,Converted,
Q23,C23,PM,1000,8,2024-01-14,2024-02-13 00:00:00,920.0,2024-01-14,Approved,
Q24,C24,PY,10000,11,2024-01-03,2024-02-02 00:00:00,8900.0,2024-01-03,Converted,
Q25,C25,PY,10000,12,2024-02-24,2024-03-25 00:00:00,8800.0,2024-02-24,Approved,
Q26,C26,PM,1000,2,2024-02-25,2024-03-26 00:00:00,980.0,2024-02-25,Draft,
Q27,C27,PM,1000,2,2024-02-10,2024-03-11 00:00:00,980.0,2024-02-10,Rejected,
Q28,C28,PM,1000,14,2024-01-23,2024-02-22 00:00:00,860.0,2024-01-23,Amended,2024-05-25 00:00:00
Q29,C29,PY,10000,8,2024-02-09,2024-03-10 00:00:00,9200.0,2024-02-09,Draft,
Q30,C30,PY,10000,14,2024-01-11,2024-02-10 00:00:00,8600.0,2024-01-11,Converted,
Q31,C31,BM,400,10,2024-02-16,2024-03-17 00:00:00,360.0,2024-02-16,Rejected,
Q32,C32,BM,400,3,2024-01-06,2024-02-05 00:00:00,388.0,2024-01-06,Draft,
Q33,C33,PY,10000,6,2024-02-03,2024-03-04 00:00:00,9400.0,2024-02-03,Rejected,
Q34,C34,PM,1000,9,2024-01-01,2024-01-31 00:00:00,910.0,2024-01-01,Approved,
Q35,C35,PM,1000,13,2024-02-04,2024-03-05 00:00:00,870.0,2024-02-04,Approved,
Q36,C36,BM,400,1,2024-01-25,2024-02-24 00:00:00,396.0,2024-01-25,Draft,
Q37,C37,PY,10000,0,2024-01-29,,10000.0,2024-01-29,Rejected,
Q38,C38,BM,400,9,2024-01-23,2024-02-22 00:00:00,364.0,2024-01-23,Draft,
Q39,C39,BM,400,10,2024-01-18,,360.0,2024-01-18,Approved,
Q40,C40,BY,4000,10,2024-01-14,2024-02-13 00:00:00,3600.0,2024-01-14,Converted,
Q41,C41,BY,4000,0,2024-01-17,2024-02-16 00:00:00,4000.0,2024-01-17,Converted,
Q42,C42,BY,4000,5,2024-01-02,2024-02-01 00:00:00,3800.0,2024-01-02,Approved,
Q43,C43,PM,1000,18,2024-01-31,,820.0000000000001,2024-01-31,Converted,
Q44,C44,PY,10000,1,2024-01-19,2024-02-18 00:00:00,9900.0,2024-01-19,Converted,
Q45,C45,PY,10000,12,2024-02-01,2024-03-02 00:00:00,8800.0,2024-02-01,Converted,
Q46,C46,PY,10000,6,2024-02-23,2024-03-24 00:00:00,9400.0,2024-02-23,Converted,
Q47,C47,PY,10000,7,2024-01-28,2024-02-27 00:00:00,9300.0,2024-01-28,Draft,
Q48,C48,BY,4000,10,2024-02-10,2024-03-11 00:00:00,3600.0,2024-02-10,Draft,
Q49,C49,PM,1000,13,2024-01-08,2024-02-07 00:00:00,870.0,2024-01-08,Rejected,
Q50,C50,PM,1000,6,2024-02-11,2024-03-12 00:00:00,940.0,2024-02-11,Approved,
