subscription_id,event_type,month,plan_id,start_month,end_month
S2,downgrade,6.0,BM,,
S3,downgrade,7.0,BM,,
S4,pause,,,3.0,5.0
S5,pause,,,5.0,7.0
S7,downgrade,4.0,BM,,
S10,pause,,,3.0,4.0
S13,downgrade,3.0,BM,,
S13,pause,,,3.0,5.0
S17,downgrade,7.0,BM,,
S17,pause,,,5.0,6.0
S17,cancel,5.0,,,
S20,downgrade,9.0,BM,,
S21,pause,,,5.0,6.0
S22,downgrade,3.0,BM,,
S23,cancel,7.0,,,
S27,pause,,,6.0,7.0
S28,pause,,,5.0,6.0
S32,downgrade,9.0,BM,,
S33,downgrade,6.0,BM,,
S33,pause,,,7.0,8.0
S37,cancel,5.0,,,
S39,downgrade,5.0,BM,,
S41,pause,,,6.0,8.0
S55,cancel,10.0,,,
S56,pause,,,6.0,8.0
S57,downgrade,3.0,BM,,
S57,pause,,,7.0,9.0
S57,cancel,7.0,,,
S59,pause,,,3.0,5.0
S62,downgrade,4.0,BM,,
S66,pause,,,6.0,7.0
S67,downgrade,5.0,BM,,
S67,pause,,,4.0,5.0
S69,downgrade,6.0,BM,,
S70,pause,,,3.0,5.0
S70,cancel,8.0,,,
S77,pause,,,4.0,5.0
S78,cancel,5.0,,,
S81,pause,,,6.0,7.0
S82,downgrade,9.0,BM,,
S83,downgrade,3.0,BM,,
S84,downgrade,5.0,BM,,
S84,pause,,,3.0,5.0
S86,downgrade,5.0,BM,,
S86,cancel,11.0,,,
S87,downgrade,6.0,BM,,
S88,downgrade,7.0,BM,,
S94,pause,,,3.0,4.0
S96,pause,,,3.0,4.0
S97,pause,,,4.0,6.0
S100,pause,,,4.0,5.0
S102,downgrade,9.0,BM,,
S106,pause,,,3.0,5.0
S107,pause,,,7.0,9.0
S110,pause,,,3.0,5.0
S110,cancel,6.0,,,
S116,cancel,7.0,,,
S117,cancel,5.0,,,
S120,downgrade,4.0,BM,,
S121,downgrade,6.0,BM,,
S123,downgrade,5.0,BM,,
S124,cancel,10.0,,,
S125,downgrade,5.0,BM,,
S127,pause,,,4.0,5.0
S130,pause,,,7.0,9.0
S133,cancel,8.0,,,
S134,cancel,8.0,,,
S138,downgrade,5.0,BM,,
S138,pause,,,4.0,6.0
S139,pause,,,7.0,8.0
S142,downgrade,8.0,BM,,
S144,cancel,5.0,,,
S145,downgrade,9.0,BM,,
S145,pause,,,4.0,6.0
S146,pause,,,3.0,4.0
S147,pause,,,4.0,5.0
S151,downgrade,9.0,BM,,
S151,pause,,,4.0,5.0
S152,downgrade,5.0,BM,,
S153,cancel,8.0,,,
S154,pause,,,5.0,7.0
S155,pause,,,3.0,5.0
S156,pause,,,7.0,8.0
S158,downgrade,4.0,BM,,
S159,downgrade,9.0,BM,,
S160,pause,,,6.0,7.0
S162,pause,,,6.0,7.0
S162,cancel,5.0,,,
S166,cancel,7.0,,,
S167,pause,,,6.0,8.0
S172,downgrade,8.0,BM,,
S172,cancel,7.0,,,
S176,cancel,6.0,,,
S177,pause,,,7.0,9.0
S179,pause,,,3.0,5.0
S187,downgrade,6.0,BM,,
S189,downgrade,3.0,BM,,
S190,pause,,,5.0,6.0
S192,downgrade,9.0,BM,,
S198,pause,,,7.0,8.0
S199,pause,,,4.0,5.0
S199,cancel,8.0,,,
S200,pause,,,5.0,6.0
S201,pause,,,6.0,7.0
S202,downgrade,8.0,BM,,
S203,pause,,,5.0,6.0
S212,downgrade,8.0,BM,,
S217,pause,,,3.0,4.0
S219,downgrade,7.0,BM,,
S219,cancel,5.0,,,
S221,downgrade,5.0,BM,,
S221,cancel,8.0,,,
S223,pause,,,3.0,5.0
S224,downgrade,5.0,BM,,
S226,pause,,,7.0,8.0
S228,cancel,9.0,,,
S233,downgrade,9.0,BM,,
S234,downgrade,5.0,BM,,
S235,downgrade,8.0,BM,,
S237,downgrade,8.0,BM,,
S242,pause,,,5.0,7.0
S243,downgrade,7.0,BM,,
S244,pause,,,5.0,7.0
S246,pause,,,3.0,4.0
S248,downgrade,8.0,BM,,
S249,downgrade,3.0,BM,,
S250,downgrade,4.0,BM,,
S254,pause,,,4.0,5.0
S255,pause,,,5.0,7.0
S257,pause,,,7.0,9.0
S261,downgrade,4.0,BM,,
S263,downgrade,6.0,BM,,
S265,downgrade,4.0,BM,,
S269,pause,,,6.0,7.0
S272,downgrade,6.0,BM,,
S274,downgrade,4.0,BM,,
S274,pause,,,4.0,6.0
S275,pause,,,6.0,7.0
S275,cancel,11.0,,,
S276,downgrade,5.0,BM,,
S277,downgrade,3.0,BM,,
S278,pause,,,3.0,4.0
S278,cancel,7.0,,,
S280,pause,,,7.0,8.0
S282,cancel,10.0,,,
S283,cancel,11.0,,,
S284,downgrade,6.0,BM,,
S285,downgrade,7.0,BM,,
S285,cancel,10.0,,,
S288,pause,,,3.0,5.0
S292,cancel,10.0,,,
S294,cancel,8.0,,,
S297,pause,,,4.0,5.0
S299,pause,,,5.0,7.0
S300,downgrade,7.0,BM,,
S303,downgrade,8.0,BM,,
S303,pause,,,3.0,5.0
S305,cancel,8.0,,,
S306,pause,,,6.0,8.0
S308,pause,,,3.0,5.0
S310,pause,,,7.0,9.0
S312,downgrade,5.0,BM,,
S313,cancel,9.0,,,
S321,downgrade,9.0,BM,,
S325,downgrade,4.0,BM,,
S326,downgrade,9.0,BM,,
S328,cancel,5.0,,,
S334,downgrade,9.0,BM,,
S334,pause,,,7.0,8.0
S339,pause,,,3.0,4.0
S339,cancel,5.0,,,
S340,downgrade,4.0,BM,,
S340,pause,,,5.0,7.0
S342,downgrade,7.0,BM,,
S344,pause,,,3.0,4.0
S347,cancel,5.0,,,
S348,pause,,,5.0,6.0
S353,downgrade,8.0,BM,,
S355,downgrade,5.0,BM,,
S356,pause,,,7.0,9.0
S361,cancel,9.0,,,
S367,downgrade,9.0,BM,,
S367,cancel,7.0,,,
S369,downgrade,3.0,BM,,
S369,pause,,,4.0,6.0
S371,downgrade,4.0,BM,,
S374,downgrade,9.0,BM,,
S377,downgrade,4.0,BM,,
S378,pause,,,3.0,5.0
S379,pause,,,3.0,5.0
S382,pause,,,3.0,5.0
S388,pause,,,5.0,6.0
S389,pause,,,5.0,6.0
S389,cancel,6.0,,,
S391,cancel,11.0,,,
S392,pause,,,7.0,8.0
S396,pause,,,4.0,5.0
S397,pause,,,4.0,5.0
S398,pause,,,3.0,5.0
S401,downgrade,7.0,BM,,
S401,pause,,,7.0,8.0
S408,pause,,,7.0,9.0
S412,downgrade,9.0,BM,,
S413,pause,,,6.0,7.0
S414,downgrade,5.0,BM,,
S414,pause,,,3.0,4.0
S416,pause,,,7.0,9.0
S418,cancel,10.0,,,
S419,downgrade,3.0,BM,,
S420,downgrade,9.0,BM,,
S420,pause,,,5.0,6.0
S420,cancel,8.0,,,
S422,pause,,,7.0,8.0
S426,pause,,,6.0,8.0
S427,downgrade,6.0,BM,,
S427,pause,,,6.0,7.0
S430,pause,,,4.0,5.0
S431,pause,,,6.0,7.0
S438,downgrade,8.0,BM,,
S438,cancel,7.0,,,
S439,downgrade,6.0,BM,,
S440,downgrade,5.0,BM,,
S440,pause,,,7.0,9.0
S441,pause,,,4.0,5.0
S442,downgrade,3.0,BM,,
S442,pause,,,4.0,5.0
S442,cancel,8.0,,,
S443,pause,,,4.0,6.0
S444,downgrade,4.0,BM,,
S447,downgrade,3.0,BM,,
S450,cancel,10.0,,,
S453,downgrade,8.0,BM,,
