invoice_id,subscription_id,customer_id,plan_id,invoice_date,amount
INV16362,S3156,C10690,BY,2024-01-02,3600.0
INV30163,S5758,C19319,PM,2024-01-02,860.0
INV35714,S6840,C22913,PY,2024-01-02,9500.0
INV36160,S6917,C23133,BY,2024-01-02,3960.0
INV37967,S7275,C24324,BY,2024-01-02,3680.0
INV4953,S974,C3244,PM,2024-01-02,970.0
INV851,S187,C623,BY,2024-01-02,3760.0
INV15972,S3083,C10460,PM,2024-01-03,900.0
INV17644,S3380,C11468,PM,2024-01-03,990.0
INV2204,S436,C1404,PM,2024-01-03,900.0
INV22735,S4328,C14712,BY,2024-01-03,3600.0
INV23263,S4414,C14982,BY,2024-01-03,3600.0
INV24545,S4686,C15869,PM,2024-01-03,940.0
INV25067,S4787,C16210,PY,2024-01-03,9400.0
INV25155,S4798,C16248,PY,2024-01-03,8700.0
INV28173,S5402,C18248,PY,2024-01-03,9100.0
INV29223,S5587,C18771,PY,2024-01-03,9800.0
INV33477,S6398,C21463,BM,2024-01-03,360.0
INV34570,S6615,C22202,PY,2024-01-03,9600.0
INV37838,S7251,C24233,PY,2024-01-03,9700.0
INV38397,S7352,C24552,PM,2024-01-03,970.0
INV40259,S7718,C25751,BY,2024-01-03,3600.0
INV41775,S8027,C26801,BY,2024-01-03,3600.0
INV46885,S9052,C30224,BM,2024-01-03,376.0
INV47066,S9082,C30313,BM,2024-01-03,368.0
INV54947,S10655,C35501,PY,2024-01-03,9300.0
INV57214,S11108,C37151,BM,2024-01-03,360.0
INV6193,S1216,C4079,PM,2024-01-03,930.0
INV7374,S1429,C4834,PM,2024-01-03,960.0
INV7450,S1446,C4903,PY,2024-01-03,9500.0
INV16212,S3124,C10589,BM,2024-01-04,380.0
INV1649,S334,C1125,PM,2024-01-04,930.0
INV17432,S3340,C11345,BM,2024-01-04,384.0
INV1713,S343,C1147,BY,2024-01-04,3920.0
INV18154,S3458,C11705,PY,2024-01-04,9100.0
INV18355,S3501,C11849,BY,2024-01-04,3800.0
INV18769,S3582,C12113,BM,2024-01-04,380.0
INV20522,S3925,C13385,BY,2024-01-04,3640.0
INV20654,S3947,C13481,BM,2024-01-04,388.0
INV20970,S4005,C13652,PM,2024-01-04,920.0
INV21262,S4055,C13838,PM,2024-01-04,930.0
INV23524,S4478,C15179,BM,2024-01-04,360.0
INV23804,S4529,C15356,BM,2024-01-04,360.0
INV24051,S4581,C15528,BM,2024-01-04,360.0
INV2433,S487,C1591,PY,2024-01-04,9200.0
INV26601,S5090,C17180,BY,2024-01-04,3880.0
INV27327,S5246,C17713,BY,2024-01-04,3600.0
INV2760,S541,C1777,PM,2024-01-04,910.0
INV27480,S5279,C17835,PY,2024-01-04,9000.0
INV28699,S5482,C18470,PY,2024-01-04,9200.0
INV28836,S5515,C18547,BY,2024-01-04,3640.0
INV28881,S5524,C18589,BY,2024-01-04,3960.0
INV30484,S5818,C19530,BY,2024-01-04,3960.0
INV32466,S6212,C20846,PM,2024-01-04,880.0
INV32884,S6284,C21070,PM,2024-01-04,960.0
INV35801,S6853,C22940,BY,2024-01-04,3600.0
INV36049,S6897,C23087,BY,2024-01-04,3760.0
INV36820,S7049,C23578,PM,2024-01-04,970.0
INV36982,S7087,C23690,BY,2024-01-04,3960.0
INV37127,S7113,C23783,BY,2024-01-04,3960.0
INV37400,S7165,C23998,PM,2024-01-04,880.0
INV3807,S737,C2461,PY,2024-01-04,8800.0
INV38707,S7413,C24770,PY,2024-01-04,9000.0
INV39171,S7504,C25035,PM,2024-01-04,940.0
INV4101,S800,C2654,BM,2024-01-04,400.0
INV45244,S8726,C29111,PM,2024-01-04,990.0
INV46582,S8986,C30001,PY,2024-01-04,8900.0
INV47366,S9154,C30550,PY,2024-01-04,9600.0
INV47797,S9239,C30799,PM,2024-01-04,900.0
INV4749,S932,C3108,PY,2024-01-04,9400.0
INV48131,S9323,C31108,PM,2024-01-04,950.0
INV48722,S9438,C31468,PM,2024-01-04,950.0
INV49533,S9576,C31901,BY,2024-01-04,3880.0
INV50014,S9665,C32179,PY,2024-01-04,9900.0
INV52263,S10113,C33650,PY,2024-01-04,9600.0
INV52839,S10235,C34057,BM,2024-01-04,388.0
INV52868,S10239,C34074,BY,2024-01-04,3600.0
INV54576,S10576,C35240,PM,2024-01-04,880.0
INV57353,S11136,C37239,PY,2024-01-04,9200.0
INV58275,S11311,C37795,BY,2024-01-04,3760.0
INV58401,S11337,C37885,PM,2024-01-04,860.0
INV59326,S11521,C38481,BY,2024-01-04,3920.0
INV60058,S11688,C38999,BY,2024-01-04,3600.0
INV60312,S11740,C39186,BM,2024-01-04,400.0
INV7314,S1415,C4800,BY,2024-01-04,3920.0
INV7867,S1532,C5187,BY,2024-01-04,3880.0
INV8280,S1610,C5395,PY,2024-01-04,8700.0
INV8707,S1702,C5673,BY,2024-01-04,3600.0
INV9879,S1932,C6502,BY,2024-01-04,3720.0
INV10983,S2137,C7249,BY,2024-01-04,3600.0
INV11692,S2262,C7664,BY,2024-01-04,3920.0
INV12099,S2351,C7953,BY,2024-01-04,3880.0
INV1220,S252,C860,BY,2024-01-04,3960.0
INV13682,S2653,C9025,PY,2024-01-04,8900.0
INV13854,S2696,C9158,PY,2024-01-04,9300.0
INV1381,S284,C961,BM,2024-01-04,360.0
INV14708,S2849,C9647,PY,2024-01-04,9500.0
INV14907,S2890,C9777,PM,2024-01-04,950.0
INV15617,S3019,C10236,PM,2024-01-05,1000.0
INV15774,S3047,C10340,BY,2024-01-05,3680.0
INV16042,S3098,C10505,PM,2024-01-05,970.0
INV16689,S3213,C10880,BM,2024-01-05,360.0
INV18633,S3552,C12008,PY,2024-01-05,8600.0
INV18709,S3568,C12063,BY,2024-01-05,3600.0
INV18754,S3578,C12100,BY,2024-01-05,3920.0
INV19078,S3638,C12320,BM,2024-01-05,396.0
INV19218,S3666,C12415,PM,2024-01-05,880.0
INV1912,S376,C1244,BY,2024-01-05,3960.0
INV166,S39,C126,PY,2024-01-05,8600.0
INV19442,S3719,C12617,PY,2024-01-05,8700.0
INV19929,S3814,C12999,BM,2024-01-05,392.0
INV21392,S4074,C13897,BY,2024-01-05,4000.0
INV21393,S4075,C13899,PY,2024-01-05,10000.0
INV22115,S4229,C14413,BY,2024-01-05,3840.0
INV22213,S4247,C14450,PY,2024-01-05,8700.0
INV23861,S4544,C15404,PM,2024-01-05,930.0
INV25022,S4778,C16178,PY,2024-01-05,9200.0
INV25142,S4796,C16244,BM,2024-01-05,360.0
INV25745,S4914,C16618,BY,2024-01-05,3760.0
INV2626,S520,C1697,BM,2024-01-05,372.0
INV26694,S5108,C17255,PY,2024-01-05,9700.0
INV2794,S548,C1790,PM,2024-01-05,970.0
INV27711,S5326,C17987,BY,2024-01-05,3600.0
INV30423,S5810,C19496,BY,2024-01-05,3600.0
INV30794,S5886,C19745,BY,2024-01-05,3600.0
INV30796,S5888,C19755,PM,2024-01-05,870.0
INV31177,S5954,C19951,PY,2024-01-05,8700.0
INV32821,S6270,C21025,BY,2024-01-05,3600.0
INV3263,S638,C2119,BM,2024-01-05,360.0
INV33125,S6331,C21243,BY,2024-01-05,3880.0
INV34236,S6551,C21981,BM,2024-01-05,360.0
INV36246,S6941,C23221,PM,2024-01-05,930.0
INV36315,S6956,C23261,PM,2024-01-05,870.0
INV37228,S7133,C23857,PY,2024-01-05,8800.0
INV37934,S7269,C24305,BY,2024-01-05,3800.0
INV38318,S7338,C24522,BM,2024-01-05,360.0
INV38704,S7410,C24759,PY,2024-01-05,8900.0
INV38708,S7414,C24771,BM,2024-01-05,360.0
INV38863,S7445,C24880,BM,2024-01-05,372.0
INV39500,S7569,C25209,PM,2024-01-05,990.0
INV39512,S7570,C25211,PY,2024-01-05,9000.0
INV39886,S7653,C25529,PY,2024-01-05,9900.0
INV40804,S7827,C26104,PY,2024-01-05,9600.0
INV40850,S7842,C26171,BY,2024-01-05,3960.0
INV41491,S7963,C26578,BM,2024-01-05,392.0
INV4305,S835,C2773,PY,2024-01-05,10000.0
INV43305,S8335,C27869,BY,2024-01-05,3600.0
INV43850,S8441,C28218,BY,2024-01-05,3600.0
INV44245,S8525,C28464,BY,2024-01-05,3800.0
INV44896,S8663,C28887,PM,2024-01-05,970.0
INV45573,S8800,C29367,PY,2024-01-05,10000.0
INV4609,S897,C2990,PY,2024-01-05,10000.0
INV47980,S9278,C30964,PM,2024-01-05,980.0
INV451,S92,C313,PY,2024-01-05,8600.0
INV48706,S9433,C31442,PM,2024-01-05,950.0
INV49017,S9489,C31655,PY,2024-01-05,9100.0
INV50625,S9788,C32581,PY,2024-01-05,9700.0
INV51704,S10005,C33263,BM,2024-01-05,376.0
INV5200,S1023,C3424,BM,2024-01-05,360.0
INV53328,S10320,C34348,PM,2024-01-05,990.0
INV53505,S10355,C34486,PM,2024-01-05,870.0
INV53576,S10369,C34520,BY,2024-01-05,3960.0
INV474,S103,C347,BY,2024-01-05,3600.0
INV53984,S10461,C34855,BM,2024-01-05,364.0
INV54128,S10498,C34975,PM,2024-01-05,870.0
INV54346,S10533,C35108,BM,2024-01-05,400.0
INV55402,S10756,C35922,BY,2024-01-05,3600.0
INV56124,S10893,C36383,BY,2024-01-05,3640.0
INV56284,S10930,C36490,PM,2024-01-05,870.0
INV5570,S1094,C3668,PY,2024-01-05,9400.0
INV56878,S11044,C36936,BM,2024-01-05,364.0
INV57121,S11087,C37082,BY,2024-01-05,3600.0
INV57780,S11206,C37502,PY,2024-01-05,9900.0
INV58098,S11278,C37686,BY,2024-01-05,3720.0
INV58121,S11286,C37714,BY,2024-01-05,3760.0
INV59205,S11492,C38394,BY,2024-01-05,3680.0
INV60037,S11679,C38961,BY,2024-01-05,3800.0
INV5980,S1184,C3978,PY,2024-01-05,8800.0
INV5996,S1188,C3989,BY,2024-01-05,3680.0
INV5997,S1189,C3992,BM,2024-01-05,372.0
INV7705,S1498,C5084,BM,2024-01-05,360.0
INV7925,S1543,C5219,BY,2024-01-05,3600.0
INV8689,S1698,C5659,BM,2024-01-05,392.0
INV9690,S1900,C6370,PM,2024-01-05,860.0
INV962,S202,C691,PM,2024-01-05,880.0
INV10585,S2066,C6993,BM,2024-01-05,400.0
INV10602,S2072,C7007,PY,2024-01-05,9000.0
INV11056,S2152,C7303,BM,2024-01-05,360.0
INV11511,S2225,C7558,PY,2024-01-05,10000.0
INV12545,S2434,C8236,PM,2024-01-05,990.0
INV12627,S2447,C8270,BY,2024-01-05,3600.0
INV1153,S238,C831,BM,2024-01-05,376.0
INV13492,S2610,C8863,BY,2024-01-05,3760.0
INV13575,S2624,C8922,PM,2024-01-05,910.0
INV14061,S2736,C9287,BM,2024-01-05,384.0
INV14654,S2839,C9589,BM,2024-01-05,360.0
INV15096,S2918,C9869,BM,2024-01-05,380.0
INV15576,S3013,C10221,PM,2024-01-06,900.0
INV16956,S3262,C11059,BY,2024-01-06,4000.0
INV16970,S3265,C11083,BY,2024-01-06,3800.0
INV17234,S3309,C11234,PY,2024-01-06,10000.0
INV17494,S3352,C11386,PM,2024-01-06,890.0
INV18551,S3537,C11961,PM,2024-01-06,970.0
INV19690,S3760,C12758,PM,2024-01-06,910.0
INV19753,S3774,C12819,BM,2024-01-06,360.0
INV19849,S3798,C12921,PY,2024-01-06,9900.0
INV19914,S3810,C12974,PY,2024-01-06,9700.0
INV20264,S3869,C13181,PY,2024-01-06,8900.0
INV21246,S4050,C13829,BY,2024-01-06,3840.0
INV21947,S4191,C14296,PM,2024-01-06,860.0
INV22630,S4311,C14657,BY,2024-01-06,3600.0
INV22920,S4362,C14819,BM,2024-01-06,388.0
INV22929,S4365,C14824,BM,2024-01-06,372.0
INV23909,S4551,C15428,PM,2024-01-06,930.0
INV2427,S486,C1587,BM,2024-01-06,372.0
INV24872,S4744,C16060,BY,2024-01-06,3760.0
INV25156,S4799,C16250,BY,2024-01-06,3760.0
INV25617,S4893,C16550,PY,2024-01-06,9800.0
INV26255,S5027,C17001,PY,2024-01-06,10000.0
INV26476,S5059,C17104,BY,2024-01-06,3600.0
INV26695,S5109,C17258,PY,2024-01-06,9500.0
INV26773,S5126,C17333,PM,2024-01-06,960.0
INV26881,S5149,C17404,PM,2024-01-06,950.0
INV2785,S547,C1789,BM,2024-01-06,360.0
INV28135,S5391,C18211,PM,2024-01-06,860.0
INV30204,S5765,C19342,PM,2024-01-06,880.0
INV30680,S5865,C19687,BM,2024-01-06,376.0
INV30808,S5892,C19772,BM,2024-01-06,396.0
INV31176,S5953,C19950,BY,2024-01-06,3720.0
INV31474,S6028,C20214,BY,2024-01-06,3800.0
INV31688,S6066,C20369,PY,2024-01-06,10000.0
INV31798,S6096,C20450,BM,2024-01-06,392.0
INV31841,S6101,C20471,BM,2024-01-06,372.0
INV31900,S6114,C20508,PM,2024-01-06,920.0
INV32544,S6226,C20876,PM,2024-01-06,980.0
INV32778,S6261,C20989,PM,2024-01-06,990.0
INV33138,S6333,C21250,BY,2024-01-06,3600.0
INV33378,S6376,C21385,PM,2024-01-06,880.0
INV33484,S6401,C21473,PY,2024-01-06,9400.0
INV3386,S655,C2166,BY,2024-01-06,3600.0
INV34547,S6608,C22183,BM,2024-01-06,388.0
INV3450,S672,C2235,BM,2024-01-06,360.0
INV35008,S6707,C22476,PM,2024-01-06,960.0
INV35158,S6734,C22558,BY,2024-01-06,3600.0
INV36273,S6945,C23232,BY,2024-01-06,3800.0
INV36448,S6982,C23340,PM,2024-01-06,980.0
INV36616,S7014,C23474,PY,2024-01-06,9600.0
INV37144,S7119,C23815,PM,2024-01-06,900.0
INV37852,S7254,C24243,PM,2024-01-06,990.0
INV37909,S7266,C24292,BM,2024-01-06,372.0
INV38256,S7321,C24479,PY,2024-01-06,9600.0
INV38743,S7422,C24802,BM,2024-01-06,392.0
INV38825,S7438,C24851,BM,2024-01-06,376.0
INV39527,S7574,C25226,PM,2024-01-06,860.0
INV39582,S7583,C25247,BY,2024-01-06,4000.0
INV40076,S7682,C25625,BY,2024-01-06,3720.0
INV40347,S7737,C25817,PY,2024-01-06,9300.0
INV4007,S782,C2593,BY,2024-01-06,3840.0
INV40914,S7859,C26219,BM,2024-01-06,380.0
INV41092,S7885,C26328,BM,2024-01-06,400.0
INV41354,S7929,C26487,BM,2024-01-06,360.0
INV41448,S7951,C26542,PM,2024-01-06,880.0
INV42438,S8174,C27320,BY,2024-01-06,3600.0
INV42868,S8253,C27560,BY,2024-01-06,3600.0
INV42996,S8274,C27656,BY,2024-01-06,3600.0
INV43157,S8305,C27757,PY,2024-01-06,8600.0
INV43261,S8329,C27842,PM,2024-01-06,990.0
INV43413,S8357,C27932,PM,2024-01-06,950.0
INV43676,S8405,C28087,BY,2024-01-06,3840.0
INV44261,S8530,C28479,BM,2024-01-06,364.0
INV44499,S8580,C28615,PY,2024-01-06,8900.0
INV4432,S866,C2876,PM,2024-01-06,860.0
INV44811,S8644,C28844,BY,2024-01-06,3920.0
INV45077,S8699,C29010,BM,2024-01-06,392.0
INV45122,S8706,C29031,PM,2024-01-06,940.0
INV45231,S8724,C29108,PY,2024-01-06,9600.0
INV45825,S8842,C29539,PM,2024-01-06,920.0
INV46041,S8893,C29693,BM,2024-01-06,396.0
INV4608,S896,C2988,BY,2024-01-06,3960.0
INV47202,S9115,C30426,BM,2024-01-06,360.0
INV4736,S930,C3099,PM,2024-01-06,990.0
INV48068,S9305,C31055,BY,2024-01-06,3840.0
INV49058,S9497,C31676,BY,2024-01-06,3600.0
INV49229,S9527,C31768,PY,2024-01-06,9600.0
INV49324,S9544,C31805,PY,2024-01-06,9000.0
INV4867,S957,C3181,BM,2024-01-06,392.0
INV49362,S9549,C31826,PY,2024-01-06,9600.0
INV49534,S9577,C31903,BY,2024-01-06,3880.0
INV49549,S9581,C31920,BM,2024-01-06,384.0
INV49570,S9584,C31925,PM,2024-01-06,910.0
INV49964,S9658,C32157,BY,2024-01-06,3600.0
INV50145,S9698,C32285,PY,2024-01-06,9600.0
INV50383,S9750,C32469,PM,2024-01-06,990.0
INV51194,S9896,C32937,BY,2024-01-06,3840.0
INV51366,S9935,C33040,BM,2024-01-06,360.0
INV5082,S1000,C3342,PM,2024-01-06,930.0
INV52054,S10070,C33494,PM,2024-01-06,1000.0
INV52083,S10077,C33538,BM,2024-01-06,360.0
INV52264,S10114,C33651,BM,2024-01-06,396.0
INV52370,S10133,C33699,PM,2024-01-06,900.0
INV5160,S1009,C3373,PY,2024-01-06,9500.0
INV53008,S10263,C34160,BM,2024-01-06,368.0
INV53650,S10389,C34594,BY,2024-01-06,3640.0
INV53742,S10406,C34645,BY,2024-01-06,3680.0
INV5309,S1044,C3500,PY,2024-01-06,8700.0
INV54918,S10648,C35483,PY,2024-01-06,9700.0
INV55032,S10677,C35575,BY,2024-01-06,3760.0
INV55505,S10778,C35998,PY,2024-01-06,9000.0
INV55618,S10798,C36069,PY,2024-01-06,8700.0
INV56515,S10967,C36634,PM,2024-01-06,930.0
INV56644,S10987,C36705,BM,2024-01-06,360.0
INV56837,S11033,C36892,BY,2024-01-06,3920.0
INV57136,S11091,C37099,BY,2024-01-06,3840.0
INV57375,S11142,C37265,BY,2024-01-06,3720.0
INV57861,S11230,C37558,PY,2024-01-06,9400.0
INV57999,S11257,C37626,PY,2024-01-06,8700.0
INV58188,S11298,C37749,PY,2024-01-06,9800.0
INV58276,S11312,C37796,PY,2024-01-06,8600.0
INV59212,S11494,C38400,BY,2024-01-06,3640.0
INV59321,S11516,C38459,BY,2024-01-06,3600.0
INV60040,S11682,C38977,PY,2024-01-06,9500.0
INV60762,S11828,C39503,BM,2024-01-06,384.0
INV61215,S11898,C39705,BY,2024-01-06,3760.0
INV61293,S11923,C39781,BM,2024-01-06,360.0
INV7011,S1367,C4619,BY,2024-01-06,3920.0
INV8134,S1590,C5346,PM,2024-01-06,960.0
INV9271,S1812,C6063,BY,2024-01-06,3600.0
INV956,S201,C690,PM,2024-01-06,940.0
INV10478,S2045,C6924,BM,2024-01-06,360.0
INV10817,S2106,C7138,BM,2024-01-06,384.0
INV11076,S2155,C7319,BM,2024-01-06,384.0
INV11354,S2200,C7469,PM,2024-01-06,1000.0
INV11467,S2216,C7537,BM,2024-01-06,388.0
INV11585,S2243,C7613,BM,2024-01-06,400.0
INV11627,S2252,C7640,BY,2024-01-06,3680.0
INV11851,S2293,C7758,BY,2024-01-06,4000.0
INV12163,S2368,C8001,PM,2024-01-06,890.0
INV12170,S2369,C8003,PY,2024-01-06,9300.0
INV13592,S2629,C8943,BM,2024-01-06,372.0
INV14231,S2767,C9381,PM,2024-01-06,920.0
INV14276,S2774,C9400,BY,2024-01-06,3880.0
INV15230,S2945,C9990,BM,2024-01-06,388.0
INV15642,S3023,C10253,PM,2024-01-07,860.0
INV1468,S300,C1028,BY,2024-01-07,3920.0
INV17651,S3381,C11476,BM,2024-01-07,400.0
INV18172,S3465,C11716,BY,2024-01-07,3600.0
INV18248,S3480,C11776,PM,2024-01-07,1000.0
INV18415,S3512,C11887,PM,2024-01-07,1000.0
INV18854,S3598,C12185,BM,2024-01-07,400.0
INV18885,S3602,C12196,BM,2024-01-07,364.0
INV19127,S3647,C12350,PM,2024-01-07,860.0
INV19278,S3679,C12455,PY,2024-01-07,9600.0
INV19443,S3720,C12621,BM,2024-01-07,364.0
INV19769,S3779,C12833,PY,2024-01-07,9800.0
INV19862,S3800,C12929,PY,2024-01-07,9600.0
INV19863,S3801,C12936,PM,2024-01-07,960.0
INV21077,S4020,C13720,BY,2024-01-07,4000.0
INV21991,S4208,C14350,PY,2024-01-07,10000.0
INV22142,S4237,C14430,BM,2024-01-07,392.0
INV22312,S4261,C14498,BM,2024-01-07,360.0
INV22494,S4291,C14591,PM,2024-01-07,860.0
INV22596,S4307,C14643,BM,2024-01-07,360.0
INV23314,S4422,C15002,PY,2024-01-07,9700.0
INV2371,S469,C1505,BY,2024-01-07,3600.0
INV23406,S4449,C15088,BM,2024-01-07,360.0
INV23666,S4503,C15270,BY,2024-01-07,3600.0
INV23820,S4533,C15373,BY,2024-01-07,3640.0
INV24214,S4605,C15601,PY,2024-01-07,9200.0
INV24428,S4658,C15772,BY,2024-01-07,3880.0
INV24618,S4702,C15906,BY,2024-01-07,3920.0
INV24884,S4750,C16089,PY,2024-01-07,10000.0
INV24925,S4759,C16113,PM,2024-01-07,910.0
INV24954,S4765,C16127,BY,2024-01-07,3720.0
INV25968,S4961,C16775,PY,2024-01-07,8600.0
INV26058,S4984,C16854,BY,2024-01-07,3600.0
INV26199,S5018,C16975,BM,2024-01-07,396.0
INV27085,S5202,C17554,BM,2024-01-07,376.0
INV2742,S537,C1768,BM,2024-01-07,388.0
INV28345,S5424,C18309,BM,2024-01-07,396.0
INV28865,S5519,C18563,PM,2024-01-07,930.0
INV30795,S5887,C19747,PY,2024-01-07,9800.0
INV30826,S5899,C19793,PM,2024-01-07,900.0
INV31405,S6017,C20172,PM,2024-01-07,900.0
INV31702,S6072,C20394,BM,2024-01-07,392.0
INV3165,S621,C2055,BY,2024-01-07,3640.0
INV3166,S622,C2059,PM,2024-01-07,1000.0
INV33598,S6424,C21580,BM,2024-01-07,380.0
INV33925,S6486,C21776,BM,2024-01-07,376.0
INV34025,S6508,C21852,PM,2024-01-07,920.0
INV34204,S6539,C21945,BY,2024-01-07,3600.0
INV34563,S6613,C22194,PM,2024-01-07,870.0
INV34931,S6690,C22405,PM,2024-01-07,990.0
INV3487,S678,C2249,PY,2024-01-07,9500.0
INV36731,S7034,C23534,PM,2024-01-07,930.0
INV36865,S7059,C23599,PY,2024-01-07,9300.0
INV37723,S7228,C24183,PM,2024-01-07,970.0
INV38298,S7333,C24506,BM,2024-01-07,372.0
INV38488,S7366,C24584,BM,2024-01-07,368.0
INV39144,S7499,C25020,PM,2024-01-07,880.0
INV39995,S7671,C25586,PM,2024-01-07,990.0
INV40017,S7674,C25600,PM,2024-01-07,990.0
INV40264,S7721,C25765,BM,2024-01-07,368.0
INV40458,S7761,C25890,PY,2024-01-07,10000.0
INV40569,S7780,C25931,BY,2024-01-07,3600.0
INV40661,S7801,C25996,PY,2024-01-07,9600.0
INV4057,S791,C2611,PY,2024-01-07,9900.0
INV40922,S7860,C26221,BM,2024-01-07,400.0
INV41181,S7896,C26370,BM,2024-01-07,380.0
INV41378,S7931,C26492,BY,2024-01-07,3600.0
INV42816,S8242,C27521,BM,2024-01-07,396.0
INV43304,S8334,C27865,BY,2024-01-07,3600.0
INV43754,S8422,C28136,BY,2024-01-07,3600.0
INV43875,S8447,C28231,BY,2024-01-07,4000.0
INV43980,S8470,C28309,PY,2024-01-07,8800.0
INV44930,S8669,C28912,PY,2024-01-07,9500.0
INV45354,S8751,C29204,BM,2024-01-07,360.0
INV45404,S8763,C29250,PM,2024-01-07,860.0
INV46011,S8889,C29676,BY,2024-01-07,3760.0
INV46316,S8940,C29851,BM,2024-01-07,360.0
INV46370,S8948,C29882,BY,2024-01-07,3720.0
INV47053,S9080,C30310,BM,2024-01-07,372.0
INV47137,S9095,C30371,PM,2024-01-07,970.0
INV47280,S9133,C30488,BY,2024-01-07,3880.0
INV48155,S9327,C31117,BY,2024-01-07,3600.0
INV48405,S9367,C31274,PY,2024-01-07,8700.0
INV48527,S9390,C31337,PM,2024-01-07,960.0
INV48664,S9424,C31425,BM,2024-01-07,372.0
INV48763,S9444,C31485,PY,2024-01-07,10000.0
INV49767,S9617,C32028,PM,2024-01-07,940.0
INV49821,S9626,C32049,BM,2024-01-07,396.0
INV49833,S9627,C32053,PM,2024-01-07,930.0
INV50039,S9668,C32194,BY,2024-01-07,3800.0
INV50301,S9735,C32422,PY,2024-01-07,9900.0
INV51115,S9877,C32890,PY,2024-01-07,10000.0
INV51132,S9886,C32909,BY,2024-01-07,3600.0
INV51296,S9923,C33015,PM,2024-01-07,890.0
INV51569,S9975,C33170,PM,2024-01-07,890.0
INV52067,S10072,C33505,BY,2024-01-07,3600.0
INV52082,S10076,C33529,BY,2024-01-07,3760.0
INV52262,S10112,C33649,PY,2024-01-07,9900.0
INV52453,S10160,C33785,PM,2024-01-07,1000.0
INV52690,S10207,C33950,PY,2024-01-07,9400.0
INV52942,S10253,C34133,BY,2024-01-07,3640.0
INV53029,S10267,C34173,BM,2024-01-07,376.0
INV53099,S10277,C34215,BY,2024-01-07,3600.0
INV5199,S1022,C3422,BY,2024-01-07,3960.0
INV53112,S10281,C34236,PM,2024-01-07,1000.0
INV5247,S1036,C3468,PM,2024-01-07,880.0
INV55035,S10680,C35582,PM,2024-01-07,900.0
INV55116,S10695,C35661,PY,2024-01-07,9300.0
INV55686,S10811,C36111,PY,2024-01-07,8800.0
INV55836,S10835,C36170,BY,2024-01-07,3720.0
INV56010,S10870,C36300,PM,2024-01-07,930.0
INV56029,S10874,C36318,BM,2024-01-07,368.0
INV56144,S10897,C36393,BM,2024-01-07,372.0
INV56306,S10933,C36502,PY,2024-01-07,10000.0
INV56651,S10988,C36706,BY,2024-01-07,3640.0
INV57374,S11141,C37262,BY,2024-01-07,3600.0
INV57386,S11144,C37268,PY,2024-01-07,9700.0
INV57680,S11194,C37456,BM,2024-01-07,400.0
INV57887,S11234,C37572,BY,2024-01-07,3840.0
INV58326,S11325,C37842,PM,2024-01-07,940.0
INV58603,S11378,C38006,BM,2024-01-07,396.0
INV5731,S1137,C3809,BM,2024-01-07,372.0
INV58910,S11440,C38216,PM,2024-01-07,1000.0
INV5787,S1144,C3827,PY,2024-01-07,8800.0
INV59250,S11506,C38444,BM,2024-01-07,396.0
INV59364,S11526,C38493,PY,2024-01-07,8800.0
INV60030,S11677,C38952,BM,2024-01-07,376.0
INV60138,S11703,C39066,PM,2024-01-07,980.0
INV61119,S11883,C39660,BY,2024-01-07,3600.0
INV61219,S11902,C39710,PM,2024-01-07,860.0
INV61447,S11962,C39929,BM,2024-01-07,376.0
INV61516,S11974,C39980,PY,2024-01-07,9100.0
INV6249,S1225,C4104,PM,2024-01-07,880.0
INV6781,S1323,C4476,BY,2024-01-07,3600.0
INV7421,S1440,C4872,BM,2024-01-07,388.0
INV8572,S1679,C5595,PM,2024-01-07,930.0
