payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_status
PAY1,INV16362,C10690,2024-01-08,3600.0,Paid
PAY2,INV30163,C19319,2024-01-03,860.0,Paid
PAY3,INV35714,C22913,2024-01-11,5483.26,Partial
PAY4,INV36160,C23133,2024-01-16,3960.0,Late
PAY5,INV37967,C24324,2024-01-04,3680.0,Paid
PAY6,INV4953,C3244,,0.0,Failed
PAY7,INV851,C623,2024-01-14,3760.0,Late
PAY8,INV15972,C10460,2024-01-08,900.0,Paid
PAY9,INV17644,C11468,2024-01-12,990.0,Paid
PAY10,INV2204,C1404,2024-01-19,900.0,Late
PAY11,INV22735,C14712,2024-01-12,3600.0,Paid
PAY12,INV23263,C14982,2024-01-07,3600.0,Paid
PAY13,INV24545,C15869,,0.0,Failed
PAY14,INV25067,C16210,2024-01-03,9400.0,Paid
PAY15,INV25155,C16248,2024-01-12,8700.0,Paid
PAY16,INV28173,C18248,2024-01-03,9100.0,Paid
PAY17,INV29223,C18771,2024-01-12,9800.0,Paid
PAY18,INV33477,C21463,2024-01-08,360.0,Paid
PAY19,INV34570,C22202,2024-01-03,9600.0,Paid
PAY20,INV37838,C24233,2024-01-06,9700.0,Paid
PAY21,INV38397,C24552,2024-01-06,970.0,Paid
PAY22,INV40259,C25751,2024-01-06,3600.0,Paid
PAY23,INV41775,C26801,2024-01-06,3600.0,Paid
PAY24,INV46885,C30224,2024-01-29,376.0,Late
PAY25,INV47066,C30313,,0.0,Failed
PAY26,INV54947,C35501,2024-01-09,9300.0,Paid
PAY27,INV57214,C37151,2024-01-20,274.94,Partial
PAY28,INV6193,C4079,2024-01-04,930.0,Paid
PAY29,INV7374,C4834,,0.0,Failed
PAY30,INV7450,C4903,2024-01-26,9500.0,Late
PAY31,INV16212,C10589,2024-01-04,380.0,Paid
PAY32,INV1649,C1125,2024-01-10,930.0,Paid
PAY33,INV17432,C11345,2024-01-13,384.0,Paid
PAY34,INV1713,C1147,2024-01-09,3920.0,Paid
PAY35,INV18154,C11705,2024-01-12,9100.0,Paid
PAY36,INV18355,C11849,2024-01-06,3800.0,Paid
PAY37,INV18769,C12113,2024-01-04,380.0,Paid
PAY38,INV20522,C13385,2024-02-02,3640.0,Late
PAY39,INV20654,C13481,2024-01-08,388.0,Paid
PAY40,INV20970,C13652,2024-01-11,920.0,Paid
PAY41,INV21262,C13838,,0.0,Failed
PAY42,INV23524,C15179,2024-01-06,360.0,Paid
PAY43,INV23804,C15356,2024-01-15,360.0,Late
PAY44,INV24051,C15528,2024-01-10,360.0,Paid
PAY45,INV2433,C1591,2024-01-06,9200.0,Paid
PAY46,INV26601,C17180,2024-01-10,3880.0,Paid
PAY47,INV27327,C17713,2024-01-06,3600.0,Paid
PAY48,INV2760,C1777,2024-01-09,278.62,Partial
PAY49,INV27480,C17835,2024-01-13,9000.0,Paid
PAY50,INV28699,C18470,2024-01-12,9200.0,Paid
PAY51,INV28836,C18547,2024-01-31,3640.0,Late
PAY52,INV28881,C18589,2024-01-06,3960.0,Paid
PAY53,INV30484,C19530,2024-01-07,3960.0,Paid
PAY54,INV32466,C20846,2024-01-09,880.0,Paid
PAY55,INV32884,C21070,2024-01-06,960.0,Paid
PAY56,INV35801,C22940,2024-01-14,1451.89,Partial
PAY57,INV36049,C23087,2024-01-11,2309.33,Partial
PAY58,INV36820,C23578,2024-01-13,970.0,Paid
PAY59,INV36982,C23690,2024-01-07,3960.0,Paid
PAY60,INV37127,C23783,,0.0,Failed
PAY61,INV37400,C23998,2024-01-13,880.0,Paid
PAY62,INV3807,C2461,2024-01-10,8800.0,Paid
PAY63,INV38707,C24770,2024-01-09,9000.0,Paid
PAY64,INV39171,C25035,2024-01-06,940.0,Paid
PAY65,INV4101,C2654,2024-01-10,400.0,Paid
PAY66,INV45244,C29111,2024-01-12,990.0,Paid
PAY67,INV46582,C30001,2024-01-11,8900.0,Paid
PAY68,INV47366,C30550,2024-01-04,9600.0,Paid
PAY69,INV47797,C30799,2024-01-20,560.58,Partial
PAY70,INV4749,C3108,2024-01-09,6538.79,Partial
PAY71,INV48131,C31108,2024-01-08,950.0,Paid
PAY72,INV48722,C31468,2024-01-13,950.0,Paid
PAY73,INV49533,C31901,2024-01-06,3880.0,Paid
PAY74,INV50014,C32179,2024-01-12,9900.0,Paid
PAY75,INV52263,C33650,2024-01-05,9600.0,Paid
PAY76,INV52839,C34057,2024-01-23,388.0,Late
PAY77,INV52868,C34074,2024-01-12,3600.0,Paid
PAY78,INV54576,C35240,2024-01-11,880.0,Paid
PAY79,INV57353,C37239,2024-01-17,9200.0,Late
PAY80,INV58275,C37795,2024-01-06,3760.0,Paid
PAY81,INV58401,C37885,2024-01-23,508.67,Partial
PAY82,INV59326,C38481,2024-01-21,3920.0,Late
