subscription_id,contract_id,customer_id,plan_id,billing_type,subscription_start_date,subscription_status
S1,CT1,C4,BY,Yearly,2024-02-16,Active
S2,CT2,C6,PY,Yearly,2024-02-27,Active
S3,CT3,C8,BM,Monthly,2024-03-01,Active
S4,CT4,C11,BY,Yearly,2024-01-31,Active
S5,CT5,C16,BM,Monthly,2024-02-23,Active
S6,CT6,C17,PY,Yearly,2024-01-20,Active
S7,CT7,C22,BM,Monthly,2024-01-22,Active
S8,CT8,C24,PY,Yearly,2024-01-07,Active
S9,CT9,C28,PM,Monthly,2024-01-25,Active
S10,CT10,C30,PY,Yearly,2024-01-14,Active
S11,CT11,C40,BY,Yearly,2024-01-17,Active
S12,CT12,C41,BY,Yearly,2024-01-19,Active
S13,CT13,C43,PM,Monthly,2024-02-01,Active
S14,CT14,C44,PY,Yearly,2024-01-23,Active
S15,CT15,C45,PY,Yearly,2024-02-04,Active
S16,CT16,C46,PY,Yearly,2024-02-24,Active
S17,CT17,C52,PM,Monthly,2024-02-29,Active
S18,CT18,C53,BY,Yearly,2024-03-03,Active
S19,CT19,C56,PY,Yearly,2024-01-24,Active
S20,CT20,C57,PY,Yearly,2024-01-26,Active
S21,CT21,C58,BM,Monthly,2024-02-10,Active
S22,CT22,C60,BM,Monthly,2024-02-11,Active
S23,CT23,C65,BY,Yearly,2024-01-30,Active
S24,CT24,C70,PM,Monthly,2024-01-25,Active
S25,CT25,C73,BM,Monthly,2024-02-26,Active
S26,CT26,C75,BM,Monthly,2024-02-18,Active
S27,CT27,C80,PY,Yearly,2024-02-05,Active
S28,CT28,C84,PY,Yearly,2024-01-23,Active
S29,CT29,C86,BY,Yearly,2024-02-12,Active
S30,CT30,C89,PY,Yearly,2024-01-13,Active
S31,CT31,C97,PM,Monthly,2024-01-28,Active
S32,CT32,C101,BY,Yearly,2024-02-03,Active
S33,CT33,C103,PM,Monthly,2024-02-03,Active
S34,CT34,C105,PM,Monthly,2024-01-12,Active
S35,CT35,C107,PM,Monthly,2024-02-25,Active
S36,CT36,C112,BY,Yearly,2024-02-24,Active
S37,CT37,C120,BM,Monthly,2024-02-26,Active
S38,CT38,C124,BY,Yearly,2024-01-17,Active
S39,CT39,C126,PY,Yearly,2024-01-03,Active
S40,CT40,C127,PM,Monthly,2024-03-03,Active
S41,CT41,C131,PY,Yearly,2024-02-02,Active
S42,CT42,C135,BY,Yearly,2024-01-08,Active
S43,CT43,C137,BM,Monthly,2024-01-31,Active
S44,CT44,C145,PY,Yearly,2024-02-29,Active
S45,CT45,C149,BM,Monthly,2024-02-06,Active
S46,CT46,C157,BY,Yearly,2024-02-11,Active
S47,CT47,C164,PY,Yearly,2024-01-12,Active
